Date,Time,kg,Hours Per Day,Waste Generated,Population
07-11-2022,01:06:09,6.012656798,8,84,84
10-10-2022,02:44:12,8.227274246,8,78,63
19-01-2022,06:53:45,7.368361742,8,51,79
25-01-2022,00:22:32,5.907296723,8,78,61
30-03-2022,01:39:32,7.155828442,8,92,55
28-02-2022,05:11:11,5.646427861,8,80,77
10-02-2022,01:16:34,8.199579453,8,84,95
17-09-2022,03:46:35,7.829366959,5,93,61
21-04-2022,00:34:11,7.520413591,8,68,56
03-01-2022,02:59:33,5.905416106,8,56,74
11-03-2022,07:11:45,7.507025069,8,51,85
06-12-2022,00:38:42,9.592792377,8,87,83
16-07-2022,03:01:17,5.753245365,5,84,82
14-11-2022,06:59:54,8.426546598,8,77,57
06-03-2022,04:38:48,9.28521381,8,74,88
14-06-2022,02:58:55,9.578654701,8,82,55
20-10-2022,06:30:13,6.298568529,8,54,92
11-09-2022,00:54:23,6.06374176,8,73,58
22-08-2022,01:14:14,8.88219299,8,55,58
15-01-2022,03:58:31,9.650752173,5,70,93
09-11-2022,00:42:10,7.700236496,8,99,74
04-11-2022,05:00:44,7.195669922,8,52,70
05-08-2022,04:18:04,9.470271717,8,100,73
31-01-2022,06:14:24,8.33645021,8,77,99
18-05-2022,06:06:13,6.545729608,8,58,68
21-08-2022,03:47:47,7.161480999,8,58,99
06-06-2022,00:26:09,7.759304872,8,92,86
30-06-2022,07:29:56,7.110762872,8,73,92
03-10-2022,07:15:28,8.655897169,8,67,67
18-06-2022,01:11:42,7.755505301,5,56,92
14-10-2022,05:50:24,9.193848783,8,68,84
06-06-2022,05:13:54,7.881448849,8,56,64
28-01-2022,04:48:09,7.52165846,8,99,52
28-03-2022,03:51:35,8.58719927,8,60,94
15-04-2022,06:19:13,9.988838236,8,66,70
10-09-2022,00:49:22,9.496175124,5,86,71
28-12-2022,03:07:10,8.051640346,8,83,50
02-07-2022,04:44:25,6.427948039,5,98,58
26-11-2022,00:02:36,7.424183088,5,75,57
24-09-2022,02:55:52,5.143351981,5,94,67
02-03-2022,04:02:55,7.279060841,8,63,92
09-10-2022,07:26:12,9.038322888,8,99,81
30-04-2022,02:13:45,5.298288817,5,51,87
29-01-2022,03:03:08,9.26417145,5,69,78
13-06-2022,00:34:58,9.247869943,8,88,64
22-05-2022,06:01:39,5.527808038,8,97,86
15-12-2022,04:54:59,8.791285547,8,70,95
05-05-2022,02:57:06,5.640568824,8,65,62
06-01-2022,06:49:32,5.622468071,8,50,90
12-02-2022,02:42:49,6.861218982,5,90,84
06-09-2022,07:55:06,8.489493258,8,63,59
27-02-2022,02:11:40,5.145550603,8,75,76
14-10-2022,06:59:03,5.768876804,8,66,51
19-12-2022,02:29:04,8.110592228,8,69,58
28-11-2022,00:38:32,9.766644465,8,88,72
30-12-2022,06:23:50,8.955601748,8,54,99
02-05-2022,05:16:19,6.288835805,8,68,69
08-06-2022,02:43:01,9.232660051,8,91,66
13-10-2022,07:11:43,7.274721737,8,82,57
05-06-2022,00:45:34,9.059542805,8,97,99
24-01-2022,01:12:07,7.197145733,8,79,67
27-09-2022,05:41:19,6.339041615,8,86,92
15-02-2022,05:39:48,9.207667975,8,96,72
31-05-2022,06:23:52,6.111117415,8,89,100
25-08-2022,04:27:50,8.972410506,8,71,62
27-08-2022,00:51:43,8.331700091,5,93,98
07-04-2022,03:05:28,9.265463009,8,61,60
18-07-2022,04:22:02,9.76836793,8,82,72
04-03-2022,06:26:15,8.294754436,8,60,69
16-07-2022,01:11:14,5.953988185,5,53,61
26-01-2022,05:38:10,9.393422848,8,99,72
28-07-2022,02:42:12,8.248195706,8,87,77
12-04-2022,02:48:58,9.60289437,8,64,67
07-09-2022,04:07:29,8.620111591,8,65,91
30-05-2022,05:51:09,8.537178636,8,70,54
29-07-2022,02:51:03,7.161664892,8,61,71
16-03-2022,07:36:48,5.485979353,8,96,97
13-03-2022,03:03:49,5.891840192,8,64,54
03-03-2022,05:48:07,7.826355062,8,57,79
15-01-2022,00:23:33,6.120834006,5,89,69
13-12-2022,02:41:44,5.383237553,8,88,96
09-08-2022,00:08:35,9.15474274,8,63,60
09-09-2022,00:29:49,5.222516594,8,52,72
21-01-2022,06:12:49,8.621342347,8,55,66
20-01-2022,07:36:41,9.480974757,8,75,64
03-09-2022,01:09:30,8.916429916,5,54,100
27-11-2022,02:45:53,8.437071469,8,58,62
07-01-2022,03:40:28,9.769138638,8,81,74
12-02-2022,04:08:18,5.758661007,5,91,58
08-05-2022,07:02:56,7.489104306,8,95,75
13-02-2022,04:43:44,6.320541776,8,71,68
18-07-2022,03:29:18,5.559731522,8,100,73
31-03-2022,00:54:19,9.977801453,8,76,91
11-04-2022,01:44:45,7.869356399,8,87,63
03-09-2022,01:00:55,6.511814787,5,60,66
22-05-2022,00:13:36,9.752704161,8,89,86
22-02-2022,07:21:42,6.05467232,8,72,56
11-05-2022,04:58:43,6.806515361,8,68,95
10-09-2022,04:56:22,7.342258677,5,80,57
18-02-2022,05:46:35,8.143528796,8,57,64
24-07-2022,02:11:05,7.200055872,8,56,52
14-10-2022,02:24:38,7.138190751,8,52,57
21-08-2022,04:05:12,5.239767646,8,57,66
04-04-2022,05:55:19,7.942393087,8,82,69
24-01-2022,04:31:00,7.388862278,8,63,99
15-04-2022,05:29:14,9.235128842,8,86,97
14-02-2022,06:58:29,7.576936112,8,71,97
23-01-2022,07:43:33,7.751349835,8,92,52
19-01-2022,01:00:32,9.764027411,8,100,97
09-12-2022,00:40:06,5.871441411,8,79,63
13-05-2022,01:00:08,9.992297112,8,84,100
30-09-2022,05:05:00,6.898051299,8,50,56
14-02-2022,02:21:56,5.555960141,8,91,90
13-04-2022,06:49:04,7.005671753,8,77,67
31-08-2022,07:42:47,9.519622371,8,69,65
27-02-2022,02:40:40,8.496890688,8,71,69
26-01-2022,06:33:52,8.573606392,8,55,99
15-07-2022,03:12:02,9.373068531,8,69,70
06-03-2022,02:33:46,7.356157429,8,54,69
04-03-2022,02:51:31,6.625866793,8,55,91
18-02-2022,07:15:41,9.986307198,8,85,88
17-03-2022,07:52:28,9.532291725,8,55,66
07-04-2022,02:08:25,7.588788681,8,77,86
17-09-2022,00:17:48,6.6695484,5,96,76
16-04-2022,04:23:52,7.125725171,5,100,81
04-09-2022,06:50:44,9.689319197,8,68,68
15-07-2022,03:51:42,8.804387923,8,82,62
07-10-2022,07:14:19,9.76380718,8,53,71
15-05-2022,03:15:51,9.707243869,8,82,100
14-08-2022,04:45:15,8.973129175,8,96,77
01-09-2022,02:35:50,8.400224025,8,75,76
01-11-2022,01:30:21,9.087086426,8,84,86
16-11-2022,04:55:49,9.691033512,8,87,66
30-12-2022,00:08:31,8.360990945,8,92,83
10-04-2022,07:33:39,6.086483704,8,83,68
14-06-2022,05:23:28,5.567121506,8,77,90
29-10-2022,03:03:48,8.967640571,5,82,76
07-11-2022,07:12:22,6.191792246,8,55,66
21-08-2022,01:03:35,8.421330404,8,80,97
23-03-2022,04:33:20,9.741608856,8,72,61
23-01-2022,01:31:34,6.406105168,8,95,75
01-10-2022,01:47:43,5.390428628,5,88,92
13-03-2022,01:10:17,7.650345742,8,77,61
17-08-2022,06:16:17,6.608899852,8,70,87
15-07-2022,01:06:27,7.529308985,8,71,95
