Date,Time,kg,Hours Per Day,Waste Generated,Population
2022-11-07,01:06:09,6.012656797782725,8.0,84,84
2022-10-10,02:44:12,8.227274245764605,8.0,78,63
2022-01-19,06:53:45,7.368361742128757,8.0,51,79
2022-01-25,00:22:32,5.907296722568026,8.0,78,61
2022-03-30,01:39:32,7.155828441783663,8.0,92,55
2022-02-28,05:11:11,5.64642786099551,8.0,80,77
2022-02-10,01:16:34,8.199579453408255,8.0,84,95
2022-09-17,03:46:35,7.829366959362346,5.0,93,61
2022-04-21,00:34:11,7.52041359114374,8.0,68,56
2022-01-03,02:59:33,5.905416105699297,8.0,56,74
2022-03-11,07:11:45,7.507025068635571,8.0,51,85
2022-12-06,00:38:42,9.592792377445978,8.0,87,83
2022-07-16,03:01:17,5.753245364836442,5.0,84,82
2022-11-14,06:59:54,8.426546597694308,8.0,77,57
2022-03-06,04:38:48,9.285213810020496,8.0,74,88
2022-06-14,02:58:55,9.57865470136462,8.0,82,55
2022-10-20,06:30:13,6.298568528955537,8.0,54,92
2022-09-11,00:54:23,6.063741760022702,8.0,73,58
2022-08-22,01:14:14,8.882192990445061,8.0,55,58
2022-01-15,03:58:31,9.650752172749405,5.0,70,93
2022-11-09,00:42:10,7.700236496292179,8.0,99,74
2022-11-04,05:00:44,7.195669921961877,8.0,52,70
2022-08-05,04:18:04,9.470271716742612,8.0,100,73
2022-01-31,06:14:24,8.336450210292984,8.0,77,99
2022-05-18,06:06:13,6.54572960789067,8.0,58,68
2022-08-21,03:47:47,7.1614809993843505,8.0,58,99
2022-06-06,00:26:09,7.759304871578275,8.0,92,86
2022-06-30,07:29:56,7.110762872048042,8.0,73,92
2022-10-03,07:15:28,8.65589716901637,8.0,67,67
2022-06-18,01:11:42,7.755505300968352,5.0,56,92
2022-10-14,05:50:24,9.193848783109228,8.0,68,84
2022-06-06,05:13:54,7.881448849330218,8.0,56,64
2022-01-28,04:48:09,7.521658460109975,8.0,99,52
2022-03-28,03:51:35,8.587199269981332,8.0,60,94
2022-04-15,06:19:13,9.988838235546822,8.0,66,70
2022-09-10,00:49:22,9.496175123740704,5.0,86,71
2022-12-28,03:07:10,8.051640346300317,8.0,83,50
2022-07-02,04:44:25,6.4279480388279735,5.0,98,58
2022-11-26,00:02:36,7.424183087603905,5.0,75,57
2022-09-24,02:55:52,5.143351981387571,5.0,94,67
2022-03-02,04:02:55,7.279060841110836,8.0,63,92
2022-10-09,07:26:12,9.038322887714564,8.0,99,81
2022-04-30,02:13:45,5.298288816771907,5.0,51,87
2022-01-29,03:03:08,9.264171449866389,5.0,69,78
2022-06-13,00:34:58,9.247869942711786,8.0,88,64
2022-05-22,06:01:39,5.527808037610064,8.0,97,86
2022-12-15,04:54:59,8.791285547242971,8.0,70,95
2022-05-05,02:57:06,5.640568824179448,8.0,65,62
2022-01-06,06:49:32,5.622468070861883,8.0,50,90
2022-02-12,02:42:49,6.861218981662494,5.0,90,84
2022-09-06,07:55:06,8.489493258360238,8.0,63,59
